,content,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,answers,poststrat
,treatment_group,Age-Gender Splits: Men 18-24,Age-Gender Splits: Men 25-44,Age-Gender Splits: Men 45-64,Age-Gender Splits: Men 65+,Age-Gender Splits: Women 18-24,Age-Gender Splits: Women 25-44,Age-Gender Splits: Women 45-64,Age-Gender Splits: Women 65+,Age: 18-34,Age: 35-54,Age: 55+,Education: College,Education: Non-College,Education: Postgrad,Ethnicity: Asian,Ethnicity: Black,Ethnicity: Hispanic or Latino,Ethnicity: Other,Ethnicity: White,Gender: Men,Gender: Women,Income: $50k-$100k,Income: >$100k,Income: Under $50k,Region: Midwest,Region: Northeast,Region: South,Region: West,Samsung Customer: Current Google Customer,Samsung Customer: Lapsed Google Customer,Samsung Customer: Not a Google Customer,Smartphone Purchase Likelihood: High,Smartphone Purchase Likelihood: Low,Social Media Use: High,Social Media Use: Low,Urbanization: City,Urbanization: Rural,Urbanization: Suburb,Please share any reactions or feedback you have on the video.,weight
5ff51c2661b2a10023202418,AWESOME screen 15s,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,Very amusing and intriguing. Caught my eye.,0.7398385516861883
5ff51c2f7bee69002bf85e0d,Live Focus How To,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,had no idea it was for samsung,0.22746671088362372
5ff51cf44c8da700323ffd0f,Live Focus How To,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,"I can relate to still photos, but to blur the background in my view point doesn't make any sense. Why not stand in front of a Green screen.",0.7202691925893884
5ff51d2ac1a2e600253d91f7,Moments That You Love,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,"Pictures of stuff I do not care about
Samsung could do better. ",0.569949708359613
5ff51d36ce03ef0023bdea37,Meet Millie Bobby Brown,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,"I like Millie Bobby Brown as an actress, but what does she know about smart phones?  Why should I care what she or any celebrity thinks about technology?  Tell me features and costs, not that some sixteen-year-old has an ego.",0.36129321196097486
5ff51d4c4c8da700323ffd11,AWESOME screen 15s,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,Bizarre,1.2411031058117736
5ff51d66751711001d738461,Live Focus How To,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,"Very nice video 
and informing
",2.3201467900252104
5ff51db6751711001d738462,Live Focus How To,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,It doesn't currently apply to me.  Would likely be more useful once I actually get a new phone.,0.22746671088362372
5ff51e3b7bee69002bf85e12,AWESOME is for Everyone,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False,Looks like s smartphone that should interest a lot of people ,0.22746671088362372
5ff520082031f800272315dd,#danceAwesome with BLACKPINK,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,I had a Samsung TV when flat screens first came out. My step daughter and I purchased TV together. Both TVs went out with same issues 2 days from the other. Sounds fishy and makes me uneasy.,1.2820612976208152
5ff5218832799e001dba6fba,AWESOME camera 15s,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,the alien was stupid . ad lost credibility with me.,1.3464878520687265
5ff522a461b2a10023202428,AWESOME camera 15s,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,quite cool,0.7202691925893884
5ff522d7c1a2e600253d9204,AWESOME camera 15s,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,It was fun and ok,1.753124170552237
5ff5231c93507f0025fce4da,Meet Millie Bobby Brown,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,It was lively and interesting.  Millie Bobby Brown is a good spokesperson.,0.22746671088362372
5ff523452031f800272315e3,Meet Millie Bobby Brown,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,False,It ok,0.9242663137914371
5ff5249332799e001dba6fbf,#danceAwesome with BLACKPINK,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,meh,0.7202691925893884
5ff527c861b2a1002320242f,AWESOME screen 15s,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,screen too small to see any details or figure out what he was doing.,0.22746671088362372
5ff527fc2031f800272315ea,AWESOME screen 15s,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,I didn't care for the commercial.  I also do not consider Samsung products when I'm shopping for items.,0.7202691925893884
5ff5280b93507f0025fce4e5,AWESOME is for Everyone,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,It was crazy,1.5967779519269516
5ff5281661b2a10023202430,AWESOME is for Everyone,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,A most annoying video.,0.8579231343644844
5ff52816ccae8e0032e4c549,AWESOME is for Everyone,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,did not engage me,0.7202691925893884
5ff52824ce03ef0023bdea43,AWESOME screen 15s,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False,False,It’s a good video ,1.4890435501410406
5ff5284332799e001dba6fc7,Meet Millie Bobby Brown,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,"Good color, speech and information ",0.26719466559585353
5ff528ca751711001d738477,AWESOME camera 15s,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,too busy did not make much sense to m,0.569949708359613
5ff528da61b2a10023202431,Moments That You Love,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,sound was too loud and distracting,1.03216620435359
5ff529122031f800272315eb,AWESOME camera 15s,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,oh well,0.7202691925893884
5ff5297fce03ef0023bdea46,#danceAwesome with BLACKPINK,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,Thank you for sending,0.26719466559585353
